,drug vector,probabilistic score
116,1 1 1 0 1 0 0,30.365830646418402
117,1 1 1 0 1 0 1,30.89500931190365
118,1 1 1 0 1 1 0,31.924651521491214
119,1 1 1 0 1 1 1,31.924651521491214
120,1 1 1 1 0 0 0,55.24543224462002
121,1 1 1 1 0 0 1,55.77461091010526
122,1 1 1 1 0 1 0,56.804253119692824
123,1 1 1 1 0 1 1,56.804253119692824
124,1 1 1 1 1 0 0,61.51353302649175
125,1 1 1 1 1 0 1,63.07891735788066
126,1 1 1 1 1 1 0,65.76993444748004
127,1 1 1 1 1 1 1,65.76993444748004
