,Drug Vector,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
35,0 1 0 0 0 1 1,0.0,10.5,10.5,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
36,0 1 0 0 1 0 0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
37,0 1 0 0 1 0 1,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
38,0 1 0 0 1 1 0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
39,0 1 0 0 1 1 1,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
40,0 1 0 1 0 0 0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
41,0 1 0 1 0 0 1,0.0,4.5,4.5,0.0,4.5,4.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
42,0 1 0 1 0 1 0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
43,0 1 0 1 0 1 1,0.0,2.5,2.5,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
44,0 1 0 1 1 0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
45,0 1 0 1 1 0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
46,0 1 0 1 1 1 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
47,0 1 0 1 1 1 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
48,0 1 1 0 0 0 0,0.0,10.5,0.0,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
49,0 1 1 0 0 0 1,0.0,10.5,0.0,0.0,10.5,10.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
50,0 1 1 0 0 1 0,0.0,10.5,0.0,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
51,0 1 1 0 0 1 1,0.0,10.5,0.0,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
52,0 1 1 0 1 0 0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
53,0 1 1 0 1 0 1,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
54,0 1 1 0 1 1 0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
55,0 1 1 0 1 1 1,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
56,0 1 1 1 0 0 0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
57,0 1 1 1 0 0 1,0.0,4.5,0.0,0.0,4.5,4.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
58,0 1 1 1 0 1 0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
59,0 1 1 1 0 1 1,0.0,2.5,0.0,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
60,0 1 1 1 1 0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
61,0 1 1 1 1 0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
62,0 1 1 1 1 1 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
63,0 1 1 1 1 1 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
64,1 0 0 0 0 0 0,0.0,0.0,10.5,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
65,1 0 0 0 0 0 1,0.0,0.0,10.5,0.0,10.5,10.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
66,1 0 0 0 0 1 0,0.0,0.0,10.5,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
67,1 0 0 0 0 1 1,0.0,0.0,10.5,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
68,1 0 0 0 1 0 0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
69,1 0 0 0 1 0 1,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
70,1 0 0 0 1 1 0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
